,sim_num,date_quarantined,q_on_ind_on,q_on_ind_off,q_on_ind_on_off,q_off_ind_on,q_off_ind_off,q_off_ind_on_off
136,1,2020-09-30,4,0,0,0,0,0
137,1,2020-10-01,0,0,0,0,0,0
138,1,2020-10-02,0,0,0,0,0,0
139,1,2020-10-03,0,0,0,0,0,0
140,1,2020-10-04,0,0,0,0,0,0
141,1,2020-10-05,0,0,0,0,0,0
142,1,2020-10-06,0,0,0,0,0,0
143,1,2020-10-07,0,0,0,0,0,0
144,1,2020-10-08,3,0,0,0,0,0
145,1,2020-10-09,2,0,0,0,0,0
146,1,2020-10-10,2,0,0,0,0,0
147,1,2020-10-11,0,0,0,0,0,0
148,1,2020-10-12,0,0,0,0,0,0
149,1,2020-10-13,4,0,0,0,0,0
150,1,2020-10-14,2,0,0,0,0,0
151,1,2020-10-15,0,0,0,0,0,0
152,1,2020-10-16,2,0,0,0,0,0
153,1,2020-10-17,1,0,0,0,0,0
154,1,2020-10-18,0,0,0,0,0,0
155,1,2020-10-19,0,0,0,0,0,0
156,1,2020-10-20,0,0,0,0,0,0
157,1,2020-10-21,0,0,0,0,0,0
158,1,2020-10-22,8,0,0,0,0,0
159,1,2020-10-23,0,0,0,0,0,0
160,1,2020-10-24,2,0,0,0,0,0
161,1,2020-10-25,0,0,0,0,0,0
162,1,2020-10-26,0,0,0,0,0,0
163,1,2020-10-27,1,0,0,0,0,0
164,1,2020-10-28,0,0,0,0,0,0
165,1,2020-10-29,1,0,0,0,0,0
166,1,2020-10-30,0,0,0,0,0,0
167,1,2020-10-31,0,0,0,0,0,0
168,1,2020-11-01,2,0,0,0,0,0
169,1,2020-11-02,2,0,0,0,0,0
170,1,2020-11-03,5,0,0,0,0,0
171,1,2020-11-04,0,0,0,0,0,0
172,1,2020-11-05,3,0,0,0,0,0
173,1,2020-11-06,14,0,0,0,0,0
174,1,2020-11-07,2,0,0,0,0,0
175,1,2020-11-08,0,0,0,0,0,0
176,1,2020-11-09,1,0,0,0,0,0
177,1,2020-11-10,0,0,0,0,1,0
178,1,2020-11-11,1,0,0,0,0,0
179,1,2020-11-12,1,0,0,0,0,0
180,1,2020-11-13,0,0,0,0,0,0
181,1,2020-11-14,3,0,0,0,0,0
182,1,2020-11-15,0,0,0,0,0,0
183,1,2020-11-16,1,0,0,0,0,0
184,1,2020-11-17,0,0,0,0,0,0
185,1,2020-11-18,1,0,0,0,0,0
186,1,2020-11-19,0,0,0,0,0,0
187,1,2020-11-20,0,0,0,0,0,0
188,1,2020-11-21,0,0,0,0,0,0
189,1,2020-11-22,6,0,0,0,0,0
190,1,2020-11-23,0,0,0,0,0,0
191,1,2020-11-24,0,0,0,0,0,0
192,1,2020-11-25,0,0,0,0,0,0
193,1,2020-11-26,3,0,0,0,0,0
194,1,2020-11-27,0,0,0,0,0,0
195,1,2020-11-28,0,0,0,0,0,0
196,1,2020-11-29,0,0,0,0,0,0
197,1,2020-11-30,0,0,0,0,0,0
198,1,2020-12-01,0,0,0,0,0,0
199,1,2020-12-02,0,0,0,0,0,0
200,1,2020-12-03,0,0,0,0,0,0
201,1,2020-12-04,0,0,0,0,0,0
202,1,2020-12-05,13,0,0,0,0,0
203,1,2020-12-06,0,0,0,0,0,0
204,1,2020-12-07,0,0,0,0,0,0
205,1,2020-12-08,1,0,0,0,0,0
206,1,2020-12-09,1,0,0,0,0,0
207,1,2020-12-10,0,0,0,0,0,0
208,1,2020-12-11,3,0,0,0,0,0
209,1,2020-12-12,0,0,0,0,0,0
210,1,2020-12-13,0,0,0,0,0,0
211,1,2020-12-14,1,0,0,0,0,0
212,1,2020-12-15,0,0,0,0,0,0
213,1,2020-12-16,3,0,0,0,0,0
214,1,2020-12-17,0,0,0,0,0,0
215,1,2020-12-18,0,0,0,0,0,0
216,2,2020-09-02,0,0,0,0,0,0
217,2,2020-09-03,0,0,0,0,0,0
218,2,2020-09-04,0,0,0,0,0,0
219,2,2020-09-05,0,0,0,0,0,0
220,2,2020-09-06,0,0,0,0,0,0
221,2,2020-09-07,0,0,0,0,0,0
222,2,2020-09-08,6,0,0,0,0,0
223,2,2020-09-09,0,0,0,0,0,0
224,2,2020-09-10,2,0,0,0,0,0
225,2,2020-09-11,1,0,0,0,0,0
226,2,2020-09-12,0,0,0,0,0,0
227,2,2020-09-13,1,0,0,0,0,0
228,2,2020-09-14,0,0,0,0,0,0
229,2,2020-09-15,0,0,0,0,0,0
230,2,2020-09-16,0,0,0,0,0,0
231,2,2020-09-17,0,0,0,0,0,0
232,2,2020-09-18,0,0,0,0,0,0
233,2,2020-09-19,1,0,0,0,0,0
234,2,2020-09-20,8,0,0,0,0,0
235,2,2020-09-21,15,0,0,0,0,0
236,2,2020-09-22,0,0,0,0,0,0
237,2,2020-09-23,1,1,0,0,0,0
238,2,2020-09-24,8,0,0,0,0,0
239,2,2020-09-25,0,0,0,0,0,0
240,2,2020-09-26,0,0,0,0,0,0
241,2,2020-09-27,0,0,0,0,0,0
242,2,2020-09-28,0,0,0,0,0,0
243,2,2020-09-29,0,0,0,0,0,0
244,2,2020-09-30,0,0,0,0,0,0
245,2,2020-10-01,0,0,0,0,0,0
246,2,2020-10-02,11,0,0,0,0,0
247,2,2020-10-03,7,0,0,0,0,0
248,2,2020-10-04,1,0,0,0,0,0
249,2,2020-10-05,0,0,0,0,0,0
250,2,2020-10-06,2,0,0,0,0,0
251,2,2020-10-07,0,0,0,0,0,0
252,2,2020-10-08,2,0,0,0,0,0
253,2,2020-10-09,0,0,0,0,0,0
254,2,2020-10-10,0,0,0,0,0,0
255,2,2020-10-11,0,0,0,0,0,0
256,2,2020-10-12,0,0,0,0,0,0
257,2,2020-10-13,0,0,0,0,0,0
258,2,2020-10-14,0,0,0,0,0,0
259,2,2020-10-15,0,0,0,0,0,0
260,2,2020-10-16,1,0,0,0,0,0
261,2,2020-10-17,0,0,0,0,0,0
262,2,2020-10-18,0,0,0,0,0,0
263,2,2020-10-19,3,0,0,0,0,0
264,2,2020-10-20,0,0,0,0,0,0
265,2,2020-10-21,2,0,0,0,0,0
266,2,2020-10-22,0,0,0,0,0,0
267,2,2020-10-23,1,0,0,0,0,0
268,2,2020-10-24,0,0,0,0,0,0
269,2,2020-10-25,0,0,0,0,0,0
270,2,2020-10-26,0,0,0,1,0,0
271,2,2020-10-27,0,0,0,0,0,0
272,2,2020-10-28,0,0,0,0,0,0
273,2,2020-10-29,2,0,0,0,0,0
274,2,2020-10-30,1,0,0,0,0,0
